A=8049 B=9482 C=5390 X=670822809 Y=9818700220 Z=85300090799 M=9787
A=2748 B=4379 C=8160 X=205666890 Y=7119978914 Z=72758858417 M=7737
A=6952 B=8319 C=7568 X=634030665 Y=4312583269 Z=12735891713 M=2268
A=9334 B=9996 C=7395 X=493182090 Y=6973142893 Z=27447233483 M=5904
A=8778 B=6635 C=6654 X=817780921 Y=6598251790 Z=68901804107 M=5044
A=7222 B=6524 C=6264 X=764425423 Y=7719917107 Z=21861756281 M=2280
A=6419 B=3164 C=7206 X=397796850 Y=7674474339 Z=84268299922 M=1276
A=6790 B=8733 C=6236 X=735451988 Y=6316216033 Z=78803902695 M=9523
A=2591 B=6999 C=7066 X=753406163 Y=6235327916 Z=78829432027 M=6070
A=2887 B=7641 C=5833 X=415639520 Y=2532505835 Z=60961280988 M=3075
A=5111 B=6474 C=5503 X=513743013 Y=1496187601 Z=28095085044 M=9193
A=9829 B=5830 C=8826 X=812154084 Y=4612678305 Z=66297970585 M=8577
A=9646 B=4420 C=9479 X=239777731 Y=6186363185 Z=36322248650 M=1301
A=9169 B=9474 C=5293 X=678391059 Y=4982158758 Z=43431757333 M=7806
A=9317 B=5027 C=6694 X=293335076 Y=1975836637 Z=53648005737 M=7945
A=2299 B=5760 C=5674 X=617176233 Y=1861895430 Z=95553182939 M=5554
A=6669 B=3251 C=8919 X=324205461 Y=3843302048 Z=45831841989 M=1724
A=4432 B=5331 C=6815 X=388912516 Y=3839920969 Z=73266685347 M=5533
A=4400 B=6365 C=5024 X=461663407 Y=5746348575 Z=42187720330 M=4098
A=8042 B=4145 C=5447 X=942713971 Y=7000131340 Z=13037219943 M=8085
A=4727 B=6749 C=6678 X=302810099 Y=3570552447 Z=20940645942 M=5261
A=3864 B=3626 C=5816 X=348261082 Y=1675949746 Z=44091048142 M=2070
A=8511 B=8679 C=5628 X=133245104 Y=9209991127 Z=30498459583 M=2129
A=4349 B=9653 C=5523 X=400873471 Y=5480191185 Z=54505644715 M=9201
A=6573 B=4090 C=5218 X=733965318 Y=1296505691 Z=70435333533 M=2102
A=2322 B=5219 C=5213 X=168833750 Y=5248037357 Z=98495273370 M=3934
A=3965 B=5300 C=6048 X=174451431 Y=1777480228 Z=55002753547 M=8445
A=3906 B=6630 C=5367 X=960578190 Y=6484209415 Z=64974761032 M=8639
A=6153 B=5870 C=9848 X=185290902 Y=4937147291 Z=14532077917 M=5941
A=7889 B=4363 C=9754 X=956590631 Y=3344027617 Z=74386009689 M=6582
A=2020 B=4347 C=9665 X=426803131 Y=8513899593 Z=93902317061 M=2760
A=9382 B=9019 C=7014 X=850103656 Y=7443256962 Z=79313862795 M=4746
A=8808 B=4083 C=7190 X=586266518 Y=9376687688 Z=29909825548 M=4448
A=6249 B=9866 C=9800 X=136505699 Y=1127650102 Z=63571397970 M=5359
A=6828 B=4674 C=8801 X=458987327 Y=2740648796 Z=89714698438 M=7813
A=5123 B=7091 C=9775 X=653880514 Y=7926527990 Z=42655497406 M=8683
A=3096 B=8932 C=9822 X=603336746 Y=1698000463 Z=45827236872 M=8906
A=4995 B=9998 C=5636 X=802101670 Y=6798499099 Z=39345026055 M=1026
A=3568 B=5978 C=8543 X=821360521 Y=7490366204 Z=53867622623 M=5038
A=3682 B=6836 C=8773 X=455845181 Y=4889977651 Z=16106569929 M=2635
A=7717 B=9358 C=7340 X=904483856 Y=6010491389 Z=20447980552 M=3627
A=4776 B=8208 C=6349 X=945689079 Y=4865159973 Z=14109134519 M=2309
A=6479 B=5659 C=5392 X=983640686 Y=5485714282 Z=57807285396 M=1644
A=2486 B=3005 C=6090 X=791904075 Y=5554853598 Z=96033246147 M=9752
A=7900 B=3602 C=9146 X=149579738 Y=4257695437 Z=63930934917 M=1713
A=6324 B=5137 C=5483 X=772855964 Y=4701747083 Z=35633383496 M=9666
A=9081 B=3907 C=9955 X=801246004 Y=6752559244 Z=72304407755 M=7457
A=3208 B=7573 C=9132 X=646808639 Y=5285277856 Z=34062896486 M=6234
A=4563 B=3871 C=9677 X=684854259 Y=7413079322 Z=30233105094 M=6028
A=7548 B=6636 C=5840 X=125846076 Y=8116990919 Z=39466003559 M=2009
A=3269 B=5224 C=7461 X=122382709 Y=7370104632 Z=47214815693 M=7060
A=4507 B=8762 C=9314 X=878068379 Y=5213465622 Z=37662884551 M=1532
A=8820 B=9541 C=8206 X=667288604 Y=9668618685 Z=31598941580 M=1549
A=3510 B=8248 C=8769 X=830711022 Y=1785750126 Z=14757206834 M=8477
A=4729 B=5869 C=9047 X=202246380 Y=7125018791 Z=75444815904 M=5699
A=4061 B=4659 C=5522 X=373436360 Y=3597847766 Z=10103514907 M=6371
A=6598 B=3092 C=6714 X=115868839 Y=9743022982 Z=35543915750 M=9859
A=4132 B=5691 C=6439 X=823355334 Y=2015096640 Z=28796861939 M=8543
A=8917 B=8390 C=9689 X=153775226 Y=2164362504 Z=94935650574 M=9499
A=4308 B=7804 C=6745 X=136550293 Y=5341601808 Z=44241737032 M=3059
A=7206 B=6349 C=8097 X=974544331 Y=7657655379 Z=28053924071 M=3957
A=8574 B=9255 C=6068 X=343065825 Y=1697630050 Z=44280378068 M=7564
A=6496 B=4434 C=8233 X=274548045 Y=6678996188 Z=91602748392 M=1789
A=9786 B=4907 C=5106 X=641529369 Y=7506117853 Z=31801153763 M=5892
A=3670 B=3421 C=9758 X=722870739 Y=6525380642 Z=87835925790 M=6899
A=4068 B=9012 C=9779 X=928220259 Y=5257472891 Z=18731148721 M=3532
A=4312 B=6659 C=9211 X=302793268 Y=5259699768 Z=25314890310 M=3883
A=6782 B=8003 C=6116 X=207788371 Y=6890772330 Z=94152442844 M=8191
A=2266 B=5846 C=5952 X=143987989 Y=4082241063 Z=96451386112 M=6268
A=6696 B=4108 C=6962 X=410507788 Y=3588323083 Z=39374389674 M=1067
A=9332 B=6052 C=6483 X=271072556 Y=4420813290 Z=60359989855 M=7755
A=3415 B=6358 C=9892 X=764555455 Y=8777244558 Z=74726255765 M=1455
A=9585 B=6762 C=6047 X=276005652 Y=9777647292 Z=62999838770 M=7405
A=5524 B=7238 C=7953 X=127609212 Y=7440638040 Z=32153038047 M=9028
A=8004 B=6740 C=6060 X=157463745 Y=7519069402 Z=35335606723 M=2737
A=8493 B=6529 C=9468 X=752371154 Y=9546370085 Z=38238404606 M=2273
A=7915 B=5142 C=6106 X=749164768 Y=7065339253 Z=28047583029 M=7638
A=7369 B=6559 C=8118 X=759176957 Y=1979202035 Z=32783365831 M=8291
A=9943 B=8902 C=5549 X=829399145 Y=4554185706 Z=76436559907 M=3971
A=3691 B=9920 C=9239 X=630026902 Y=4453492138 Z=23802726505 M=6590
A=9223 B=7041 C=7425 X=975408705 Y=2169678193 Z=39246323599 M=9403
A=5486 B=4688 C=9495 X=368132074 Y=1070853043 Z=76955378485 M=5337
A=7889 B=7149 C=6998 X=190723295 Y=5664290114 Z=64415977789 M=7809
A=4600 B=9473 C=8521 X=689582325 Y=2332827264 Z=68373138233 M=8951
A=9559 B=7161 C=9638 X=653482168 Y=8586660533 Z=21714222712 M=2734
A=2075 B=8412 C=8458 X=342361844 Y=1415728551 Z=38658746631 M=1971
A=2695 B=6542 C=8051 X=825911170 Y=6806597523 Z=55956444938 M=6291
A=4906 B=7016 C=6685 X=519952520 Y=4427323184 Z=99920467828 M=4997
A=6031 B=8606 C=5110 X=761675922 Y=7468303780 Z=44047282045 M=3761
A=3969 B=4171 C=7714 X=315570021 Y=5260247235 Z=64225186073 M=1044
A=7996 B=4153 C=5316 X=219716047 Y=5767385024 Z=39972952213 M=7310
A=9746 B=8217 C=7487 X=341283748 Y=3825172068 Z=64792436459 M=5907
A=4985 B=8834 C=6133 X=124747004 Y=5208576267 Z=68260267315 M=9901
A=8328 B=3358 C=8501 X=184384869 Y=5832043594 Z=92092828150 M=5265
A=2024 B=8144 C=5412 X=429457155 Y=6116454791 Z=60552095517 M=8419
A=3930 B=7333 C=7072 X=779231578 Y=9859310330 Z=40147945634 M=1998
A=4472 B=9157 C=9273 X=336197819 Y=5521623054 Z=61267607429 M=5779
A=6083 B=3822 C=8622 X=421900918 Y=6759543510 Z=65665472002 M=1506
A=3614 B=3278 C=6244 X=943385268 Y=3836274591 Z=89002723411 M=9853
A=8548 B=6169 C=6655 X=723533073 Y=7537417830 Z=56489451610 M=1022
A=5821 B=5966 C=5433 X=299053444 Y=2207556806 Z=57455311284 M=7475
A=9768 B=7446 C=7253 X=704261398 Y=3413662823 Z=54437818266 M=9746
A=5495 B=5508 C=8459 X=449154444 Y=6373738294 Z=33248478101 M=8105
A=3281 B=3575 C=6357 X=680825888 Y=4609925129 Z=96517065693 M=2959
A=5939 B=9390 C=6624 X=446145286 Y=9382499310 Z=21112446741 M=4609
A=5961 B=9763 C=6596 X=514132377 Y=4952437630 Z=32772579027 M=9548
A=7723 B=7299 C=6800 X=878969206 Y=5588282751 Z=90613624935 M=5616
A=2924 B=3183 C=6076 X=979073710 Y=5025080903 Z=48071233732 M=3475
A=6816 B=6965 C=7068 X=459580031 Y=1054245298 Z=20861484043 M=8728
A=9679 B=7348 C=7894 X=321063609 Y=3796022993 Z=80735554597 M=6094
A=6058 B=6397 C=7342 X=274198929 Y=1351542992 Z=74270667985 M=5772
A=6007 B=8577 C=6390 X=488821874 Y=2709848312 Z=49547898286 M=6824
A=9716 B=5047 C=5763 X=218346397 Y=8024514400 Z=30498286671 M=6481
A=5626 B=7070 C=5678 X=222578030 Y=7731582798 Z=57490266045 M=7403
A=4782 B=9959 C=5163 X=184332467 Y=9634952534 Z=96327978541 M=2760
A=9770 B=8525 C=7671 X=128050248 Y=3751922345 Z=15263172286 M=6702
A=8204 B=9102 C=5596 X=922787302 Y=5975907670 Z=44298274072 M=2372
A=6542 B=5301 C=8035 X=686887089 Y=3242672309 Z=50166360602 M=7955
A=7182 B=9710 C=5897 X=614709522 Y=4913992374 Z=61650095663 M=2294
A=6989 B=4423 C=7527 X=402832257 Y=1875164575 Z=85543072297 M=7061
A=6344 B=3312 C=6305 X=562315394 Y=7172885235 Z=14686892310 M=6240
A=6460 B=6161 C=7365 X=376466783 Y=4876718767 Z=49496147809 M=5352
A=4291 B=5875 C=8813 X=279499639 Y=4155006280 Z=80229291368 M=8732
A=8835 B=5213 C=9388 X=852483931 Y=4787540379 Z=35413416435 M=7370
A=9510 B=5534 C=5499 X=241770363 Y=7510550401 Z=76728150670 M=8279
A=8746 B=8592 C=8582 X=606458367 Y=7798121238 Z=63394883037 M=4153
A=2477 B=7331 C=7171 X=190603464 Y=9766032746 Z=53719578867 M=6890
A=9274 B=7706 C=8072 X=655406125 Y=2030569211 Z=79473376800 M=6675
A=9214 B=8010 C=7383 X=455915928 Y=9942025602 Z=34206205396 M=7189
A=3299 B=3791 C=8096 X=354733556 Y=9003322620 Z=46283388018 M=1540
A=6834 B=5137 C=6878 X=905103479 Y=2467216522 Z=87268860666 M=3672
A=6409 B=8154 C=8850 X=497137383 Y=5685357171 Z=13877900647 M=3238
A=7618 B=4723 C=5908 X=848867116 Y=8848889730 Z=69984919712 M=6747
A=6578 B=4072 C=9512 X=390964759 Y=7803783563 Z=40300186108 M=3000
A=3663 B=6562 C=9568 X=912151054 Y=6620017342 Z=34472197689 M=2009
A=6576 B=3154 C=7224 X=126483638 Y=3632930121 Z=46236233463 M=6731
A=5823 B=7237 C=6409 X=611814655 Y=1331358544 Z=82480848846 M=8804
A=6720 B=4859 C=8078 X=464530238 Y=6207952211 Z=94872261011 M=7635
A=8763 B=4229 C=8417 X=940303506 Y=1621476619 Z=15292904775 M=1213
A=5485 B=9704 C=8206 X=801314961 Y=9053701923 Z=78370420795 M=2865
A=2757 B=6610 C=5613 X=184416623 Y=3725407042 Z=56482598174 M=9779
A=9579 B=6349 C=6285 X=736867164 Y=7761535501 Z=93761803930 M=5212
A=3339 B=7143 C=5074 X=142723300 Y=2571910703 Z=33075654159 M=5182
A=3023 B=5048 C=6997 X=537886609 Y=8567668840 Z=14396108896 M=1304
A=2774 B=9743 C=5271 X=182222637 Y=5753179533 Z=30737335377 M=5086
A=7203 B=5023 C=9822 X=150831854 Y=3122794955 Z=79919834684 M=6251
A=6732 B=7281 C=9487 X=342073571 Y=5762417874 Z=91455106443 M=1745
A=9350 B=3464 C=8193 X=852538785 Y=3776744964 Z=94663596463 M=3447
A=4182 B=3615 C=7205 X=843086548 Y=9808859150 Z=32041975381 M=5917
A=8735 B=4122 C=5892 X=455581969 Y=2993941552 Z=88858369110 M=3840
A=9465 B=5143 C=9227 X=207788015 Y=7741924205 Z=67113503190 M=3045
A=8277 B=8125 C=9788 X=664279058 Y=7683047816 Z=66800666690 M=1403
A=9585 B=7787 C=5298 X=258653457 Y=9577108121 Z=49816318254 M=4461
A=3207 B=7573 C=8634 X=353116066 Y=4041373896 Z=86449680985 M=3327
A=3527 B=4426 C=6339 X=459830329 Y=4355225627 Z=54945134075 M=7285
A=4112 B=4214 C=7535 X=629156827 Y=5286030149 Z=85396185763 M=5646
A=4522 B=3526 C=5027 X=191324765 Y=7883477786 Z=82502184125 M=7090
A=3085 B=7659 C=5222 X=640400093 Y=4883891715 Z=47048770841 M=5009
A=6384 B=3171 C=5836 X=796747766 Y=2975311156 Z=33016608696 M=4375
A=8771 B=9553 C=8944 X=303642346 Y=1289256370 Z=41012871052 M=3678
A=5399 B=3174 C=5545 X=682057185 Y=3071831645 Z=83767834357 M=7514
A=6345 B=3926 C=7126 X=778941381 Y=9477047762 Z=21194417003 M=8485
A=5370 B=9892 C=7182 X=471397596 Y=5208019056 Z=90008893025 M=4887
A=3234 B=4058 C=7670 X=606808907 Y=7172069650 Z=35819275653 M=7260
A=6981 B=9231 C=5438 X=703663302 Y=6133526218 Z=87852190918 M=2876
A=7073 B=9763 C=9106 X=502479238 Y=9664640578 Z=13087038524 M=9117
A=5487 B=8941 C=6780 X=232744892 Y=5159619219 Z=73511801858 M=9533
A=2461 B=8500 C=6804 X=286742375 Y=9634245794 Z=49801585451 M=2599
A=3931 B=5209 C=5414 X=860919964 Y=1129073449 Z=99499984327 M=2287
A=9484 B=9354 C=6300 X=583214039 Y=6333481585 Z=84322253909 M=3315
A=4113 B=8364 C=8290 X=733852492 Y=2168725938 Z=68729666829 M=7477
A=6189 B=7700 C=9748 X=321803185 Y=2633702251 Z=16414399294 M=5105
A=2901 B=7782 C=5738 X=442687925 Y=9778036007 Z=67971883994 M=8046
A=9523 B=9523 C=8881 X=212143724 Y=8006666565 Z=83571959560 M=3623
A=7031 B=5182 C=9505 X=813957034 Y=3205719986 Z=82495046044 M=7531
A=9562 B=5657 C=5500 X=982320121 Y=2682291860 Z=43744088069 M=5936
A=6784 B=9830 C=7267 X=681139434 Y=2972054586 Z=83153244191 M=7200
A=8460 B=4508 C=8601 X=426006950 Y=8675977147 Z=39351590431 M=4915
A=6048 B=9177 C=5026 X=311048036 Y=2232109333 Z=69147241426 M=7232
A=5375 B=7058 C=9590 X=318207955 Y=8653592319 Z=61717545198 M=5055
A=5992 B=9582 C=8660 X=475780134 Y=5481029586 Z=96024315389 M=6364
A=9641 B=6897 C=9645 X=779561585 Y=9897852070 Z=72215846792 M=6383
A=3617 B=4339 C=7799 X=304048487 Y=9908662015 Z=56591739367 M=1653
A=7827 B=4835 C=7591 X=387020602 Y=6038853487 Z=70104810807 M=2366
A=8208 B=4611 C=9782 X=567192670 Y=5594491913 Z=82801677333 M=4048
A=3452 B=8351 C=5768 X=151051743 Y=5738009836 Z=50244488429 M=7269
A=7234 B=9634 C=6242 X=155679783 Y=5033242456 Z=67984511038 M=8165
A=7052 B=5840 C=6179 X=750362832 Y=6208438078 Z=74036942259 M=3572
A=7924 B=7031 C=6228 X=842740513 Y=4058611381 Z=29109138759 M=8825
A=7286 B=4009 C=6590 X=131587113 Y=1506409207 Z=45576904157 M=1581
A=9453 B=6904 C=6194 X=902005140 Y=9723951462 Z=81712489392 M=4319
A=9246 B=5403 C=7371 X=165943885 Y=2515820640 Z=75696821599 M=5406
A=5189 B=7708 C=9554 X=371180645 Y=3238123700 Z=16776516132 M=5319
A=5795 B=8039 C=5333 X=898166308 Y=4661302960 Z=59983031239 M=3413
A=7114 B=4639 C=9380 X=917746663 Y=9961565594 Z=87236309729 M=1813
A=5846 B=6981 C=9836 X=537266876 Y=4817879221 Z=43535317500 M=2154
A=5912 B=4145 C=7356 X=666628677 Y=9514073742 Z=90120069511 M=6480
A=8720 B=3450 C=9868 X=518453126 Y=3501846374 Z=39363712708 M=7848
A=7762 B=5036 C=7616 X=263802185 Y=2322208522 Z=74704427807 M=9009
A=4616 B=5993 C=8115 X=237144474 Y=1479820005 Z=89415958813 M=2222
A=8618 B=9653 C=9995 X=308505235 Y=5304074023 Z=89343539921 M=9700
A=3947 B=6939 C=9523 X=274082851 Y=1294426832 Z=68898161364 M=7988
A=5357 B=8910 C=6031 X=939011870 Y=3249002039 Z=19023712537 M=1064
A=6113 B=7549 C=7754 X=683690724 Y=4276977261 Z=25531653353 M=3613
A=6944 B=9126 C=9651 X=285305993 Y=3993893186 Z=17235119531 M=2990
A=7576 B=8375 C=8793 X=924685231 Y=2315527100 Z=77224326094 M=9621
A=9790 B=3119 C=7274 X=650410848 Y=3214634184 Z=58043843552 M=1505
A=4143 B=5301 C=6207 X=130544517 Y=4796798863 Z=18938668662 M=7954
A=3686 B=8828 C=5678 X=556859501 Y=7864592872 Z=49855347082 M=2278
A=9856 B=9413 C=9448 X=852351233 Y=1506434927 Z=61340342862 M=7947
A=4414 B=4628 C=6789 X=639732278 Y=8270426865 Z=89785975537 M=2493
A=3565 B=5062 C=5580 X=235456834 Y=4438624365 Z=15780645680 M=8770
A=2578 B=7215 C=8874 X=710437744 Y=7980414372 Z=17818373343 M=4755
A=9259 B=3154 C=7959 X=105985770 Y=9389584293 Z=91456518293 M=8666
A=3816 B=4009 C=8646 X=469483025 Y=6633701187 Z=29016977014 M=5580
A=2099 B=8239 C=9213 X=493240568 Y=7830277393 Z=20564903151 M=2405
A=5923 B=5075 C=8245 X=586403372 Y=9702909833 Z=83086254344 M=2751
A=9845 B=3969 C=8501 X=850086252 Y=3066961924 Z=17758009496 M=4282
A=4429 B=4926 C=7645 X=315096988 Y=7885046398 Z=21834504721 M=9802
A=2215 B=4183 C=8590 X=350512378 Y=3197242224 Z=25077701644 M=1702
A=6096 B=8491 C=9433 X=804366583 Y=6461360762 Z=77223770461 M=1273
A=6761 B=4719 C=9758 X=534874503 Y=1751450583 Z=30830361741 M=2362
A=3619 B=6044 C=8384 X=699246956 Y=8435530980 Z=49287604732 M=7048
A=7348 B=4846 C=6806 X=703000542 Y=9266136793 Z=72184288364 M=4296
A=8837 B=5271 C=7434 X=187284495 Y=8963824142 Z=61110301983 M=8846
A=4105 B=5903 C=7181 X=222894144 Y=4845130110 Z=61226959346 M=8114
A=5313 B=8073 C=6842 X=996417650 Y=2822323963 Z=20674499859 M=2488
A=6395 B=6679 C=7421 X=744236112 Y=6986615812 Z=43641590264 M=4067
A=9481 B=3773 C=8941 X=844348527 Y=7777974156 Z=69090219771 M=5836
A=4306 B=8854 C=5319 X=666802950 Y=4463645860 Z=55922507401 M=8062
A=8872 B=6185 C=5153 X=605514311 Y=9617697063 Z=75969600946 M=6821
A=2811 B=6346 C=7325 X=656039862 Y=5327538027 Z=83188937935 M=4862
A=9908 B=4936 C=7201 X=296200422 Y=2927886744 Z=26264078388 M=1743
A=2071 B=4370 C=7212 X=359185971 Y=9955014295 Z=61609004708 M=7903
A=3185 B=8500 C=5969 X=347518651 Y=5196617128 Z=56180865203 M=4936
A=9186 B=6592 C=6077 X=707974486 Y=3469991383 Z=67032019706 M=2832
A=7059 B=6021 C=7414 X=911899281 Y=6215298967 Z=91331300533 M=2416
A=9209 B=8584 C=7611 X=201607956 Y=6389719499 Z=99353417557 M=9609
A=8001 B=8158 C=8951 X=590005794 Y=9830065095 Z=99890441009 M=1031
A=7472 B=7299 C=8255 X=276279165 Y=2046366311 Z=95072909827 M=5929
A=9640 B=8672 C=9379 X=933262974 Y=9748728601 Z=92586542854 M=4116
A=2881 B=7235 C=7400 X=908845670 Y=5685019942 Z=41425368258 M=2035
A=4568 B=3652 C=9284 X=356314084 Y=7148749063 Z=88085481230 M=4192
A=7648 B=7192 C=7326 X=177007744 Y=7104525576 Z=86420012070 M=9565
A=9600 B=5990 C=5783 X=840393610 Y=7995578092 Z=17841944799 M=8284
A=4899 B=3149 C=8818 X=444604131 Y=4124806117 Z=92590657905 M=9278
A=9903 B=3714 C=5673 X=264585583 Y=3615673372 Z=23215363814 M=7875
A=7214 B=4209 C=6366 X=385044192 Y=2544952988 Z=19358039337 M=5688
A=2898 B=5367 C=9752 X=939127249 Y=4068276195 Z=81933709094 M=4581
A=4292 B=4739 C=8214 X=680862235 Y=9312523494 Z=29109695353 M=3754
A=7617 B=7406 C=8423 X=427523589 Y=9375897293 Z=40333597760 M=6955
A=5994 B=3953 C=7857 X=465531351 Y=3476429761 Z=80286563240 M=3396
A=2334 B=6459 C=8128 X=402879297 Y=3175922185 Z=98805344738 M=9737
A=9390 B=8820 C=5938 X=515731069 Y=2702963362 Z=93731374828 M=5785
A=5583 B=6748 C=6121 X=157184965 Y=5471905734 Z=33960342657 M=8521
A=9889 B=7118 C=7561 X=289266685 Y=1008849924 Z=26349391021 M=8294
A=8058 B=5471 C=7649 X=658986380 Y=1540804673 Z=65793294694 M=9548
A=3246 B=7127 C=7954 X=496064310 Y=9131846491 Z=44199952429 M=2109
A=6028 B=6624 C=5318 X=344042763 Y=1603027834 Z=83228657621 M=8147
A=6425 B=4836 C=5713 X=526591527 Y=1606616908 Z=27598969185 M=1737
A=6109 B=3457 C=9252 X=784405644 Y=7842219405 Z=98722191571 M=4393
A=2227 B=9200 C=5315 X=111698567 Y=6598475666 Z=44440092269 M=2941
A=3742 B=6510 C=8965 X=624480669 Y=5265222124 Z=90534641175 M=2700
A=7234 B=8529 C=8267 X=527233851 Y=8383641015 Z=42071776562 M=7380
A=7769 B=5464 C=7284 X=400415235 Y=5616386519 Z=97411784620 M=7451
A=8299 B=8278 C=8622 X=389672329 Y=7262153270 Z=26689123301 M=4465
A=5380 B=7786 C=6426 X=229242848 Y=3202523883 Z=89970816652 M=1240
A=9030 B=5143 C=9784 X=530529024 Y=7577155828 Z=17075889006 M=3220
A=3993 B=6380 C=9464 X=334008943 Y=9923951922 Z=65687892049 M=5000
A=2669 B=5805 C=6377 X=233270909 Y=2862855347 Z=18633448894 M=3934
A=4197 B=6481 C=8050 X=193997188 Y=1082885736 Z=17233413468 M=3524
A=9819 B=6264 C=8065 X=833276197 Y=5046679510 Z=88647527340 M=7597
A=4435 B=4704 C=9693 X=979454130 Y=7045059206 Z=78795768834 M=1301
A=7934 B=3267 C=7491 X=691989473 Y=2723853698 Z=72411587392 M=9235
A=5386 B=9756 C=8200 X=431523214 Y=3113185686 Z=34289679555 M=9536
A=9773 B=5997 C=7359 X=926363852 Y=4921894435 Z=14604861565 M=4740
A=8242 B=6052 C=8166 X=795349702 Y=1428635550 Z=87752945666 M=6946
A=8622 B=7129 C=7275 X=418000501 Y=9535687873 Z=13967502471 M=7997
A=7623 B=3578 C=6359 X=500556044 Y=5973709881 Z=96258634923 M=1944
A=6619 B=8314 C=7644 X=619828450 Y=2776252963 Z=50047279107 M=6038
A=4953 B=9230 C=9473 X=373856262 Y=9926879069 Z=78331143391 M=4241
A=5871 B=6117 C=5184 X=936991118 Y=7322704121 Z=72581519852 M=3069
A=4687 B=8236 C=5653 X=475373648 Y=4683506204 Z=86597036464 M=5371
A=9872 B=9299 C=9011 X=824860072 Y=4164521057 Z=37529698935 M=9882
A=3698 B=5563 C=8626 X=632580633 Y=7771691925 Z=75810069631 M=8017
A=9936 B=3529 C=9493 X=302125372 Y=9552332661 Z=77013325418 M=5925
A=4005 B=6107 C=8259 X=992693940 Y=6697329553 Z=28053188364 M=6641
A=2862 B=6779 C=9235 X=759997655 Y=9347330966 Z=24717680336 M=2338
